Timestamp (Epoch Time),Timestamp (Human Readable),Type of record,Offset (seconds),Series Accuracy (Seconds/day)
1643800835218,Wed Feb 02 06:20:35 EST 2022,REGULAR,-14.0,
1643800820094,Wed Feb 02 06:20:20 EST 2022,REGULAR,-14.0,
1643765572909,Tue Feb 01 20:32:52 EST 2022,REGULAR,-12.0,
1643759117198,Tue Feb 01 18:45:17 EST 2022,REGULAR,-11.0,
1643754656718,Tue Feb 01 17:30:56 EST 2022,REGULAR,-11.0,
1643750016053,Tue Feb 01 16:13:36 EST 2022,REGULAR,-10.0,
1643748155902,Tue Feb 01 15:42:35 EST 2022,REGULAR,-10.0,
1643736844660,Tue Feb 01 12:34:04 EST 2022,REGULAR,-9.0,
1643732184459,Tue Feb 01 11:16:24 EST 2022,REGULAR,-9.0,
1643725073727,Tue Feb 01 09:17:53 EST 2022,REGULAR,-8.0,
1643722758672,Tue Feb 01 08:39:18 EST 2022,REGULAR,-8.0,
1643714133212,Tue Feb 01 06:15:33 EST 2022,REGULAR,-7.0,
1643690265538,Mon Jan 31 23:37:45 EST 2022,REGULAR,-4.0,
1643680784527,Mon Jan 31 20:59:44 EST 2022,REGULAR,-3.0,
1643680769622,Mon Jan 31 20:59:29 EST 2022,REGULAR,-3.0,
1643670758408,Mon Jan 31 18:12:38 EST 2022,REGULAR,-2.0,
1643664077729,Mon Jan 31 16:21:17 EST 2022,REGULAR,-1.0,
1643662457022,Mon Jan 31 15:54:17 EST 2022,REGULAR,-1.0,
1643655241806,Mon Jan 31 13:54:01 EST 2022,REGULAR,-1.0,
1643652716344,Mon Jan 31 13:11:56 EST 2022,REGULAR,-1.0,
1643648841127,Mon Jan 31 12:07:21 EST 2022,REGULAR,-1.0,
1643646980827,Mon Jan 31 11:36:20 EST 2022,REGULAR,0.0,
1643641045057,Mon Jan 31 09:57:25 EST 2022,REGULAR,0.0,
1643641025140,Mon Jan 31 09:57:05 EST 2022,REGULAR,0.0,
1643641005098,Mon Jan 31 09:56:45 EST 2022,REGULAR,0.0,
1643640992454,Mon Jan 31 09:56:32 EST 2022,CLOCK_ADJUSTED,,-7.045547
1643640856507,Mon Jan 31 09:54:16 EST 2022,REGULAR,-20.0,
1643635636472,Mon Jan 31 08:27:16 EST 2022,REGULAR,-20.0,
1643594489523,Sun Jan 30 21:01:29 EST 2022,REGULAR,-14.0,
1643592029225,Sun Jan 30 20:20:29 EST 2022,REGULAR,-14.0,
1643589788837,Sun Jan 30 19:43:08 EST 2022,REGULAR,-13.0,
1643586223363,Sun Jan 30 18:43:43 EST 2022,REGULAR,-12.0,
1643583743288,Sun Jan 30 18:02:23 EST 2022,REGULAR,-12.0,
1643583698425,Sun Jan 30 18:01:38 EST 2022,REGULAR,-13.0,
1643579977836,Sun Jan 30 16:59:37 EST 2022,REGULAR,-12.0,
1643573492100,Sun Jan 30 15:11:32 EST 2022,REGULAR,-11.0,
1643572131751,Sun Jan 30 14:48:51 EST 2022,REGULAR,-10.0,
1643570741361,Sun Jan 30 14:25:41 EST 2022,REGULAR,-11.0,
1643565040861,Sun Jan 30 12:50:40 EST 2022,REGULAR,-10.0,
1643564240941,Sun Jan 30 12:37:20 EST 2022,REGULAR,-10.0,
1643560190542,Sun Jan 30 11:29:50 EST 2022,REGULAR,-9.0,
1643559805484,Sun Jan 30 11:23:25 EST 2022,REGULAR,-9.0,
1643555919935,Sun Jan 30 10:18:39 EST 2022,REGULAR,-9.0,
1643555850126,Sun Jan 30 10:17:30 EST 2022,REGULAR,-9.0,
1643555760239,Sun Jan 30 10:16:00 EST 2022,REGULAR,-9.0,
1643555739968,Sun Jan 30 10:15:39 EST 2022,REGULAR,-9.0,
1643547503998,Sun Jan 30 07:58:23 EST 2022,REGULAR,-13.0,
1643544113512,Sun Jan 30 07:01:53 EST 2022,REGULAR,-12.0,
1643544088768,Sun Jan 30 07:01:28 EST 2022,REGULAR,-13.0,
1643544073600,Sun Jan 30 07:01:13 EST 2022,REGULAR,-12.0,
1643527542263,Sun Jan 30 02:25:42 EST 2022,REGULAR,-12.0,
1643513976086,Sat Jan 29 22:39:36 EST 2022,REGULAR,-10.0,
1643497484386,Sat Jan 29 18:04:44 EST 2022,REGULAR,-9.0,
1643495033753,Sat Jan 29 17:23:53 EST 2022,REGULAR,-8.0,
1643483908063,Sat Jan 29 14:18:28 EST 2022,REGULAR,-7.0,
1643483882756,Sat Jan 29 14:18:02 EST 2022,REGULAR,-7.0,
1643479127428,Sat Jan 29 12:58:47 EST 2022,REGULAR,-7.0,
1643478042464,Sat Jan 29 12:40:42 EST 2022,REGULAR,-7.0,
1643475762092,Sat Jan 29 12:02:42 EST 2022,REGULAR,-6.0,
1643468081434,Sat Jan 29 09:54:41 EST 2022,REGULAR,-5.0,
1643457410429,Sat Jan 29 06:56:50 EST 2022,REGULAR,-5.0,
1643457390381,Sat Jan 29 06:56:30 EST 2022,REGULAR,-4.0,
1643447700213,Sat Jan 29 04:15:00 EST 2022,REGULAR,-4.0,
1643418147948,Fri Jan 28 20:02:27 EST 2022,REGULAR,-2.0,
1643412412275,Fri Jan 28 18:26:52 EST 2022,REGULAR,-1.0,
1643407231547,Fri Jan 28 17:00:31 EST 2022,REGULAR,-1.0,
1643407181535,Fri Jan 28 16:59:41 EST 2022,REGULAR,-1.0,
1643407161483,Fri Jan 28 16:59:21 EST 2022,REGULAR,-1.0,
1643406051207,Fri Jan 28 16:40:51 EST 2022,REGULAR,0.0,
1643395640284,Fri Jan 28 13:47:20 EST 2022,REGULAR,0.0,
1643395595215,Fri Jan 28 13:46:35 EST 2022,REGULAR,0.0,
1643395480618,Fri Jan 28 13:44:40 EST 2022,CLOCK_ADJUSTED,,-6.7873054
1643395410117,Fri Jan 28 13:43:30 EST 2022,REGULAR,-14.0,
1643387336500,Fri Jan 28 11:28:56 EST 2022,REGULAR,-16.0,
1643383741113,Fri Jan 28 10:29:01 EST 2022,REGULAR,-15.0,
1643382151138,Fri Jan 28 10:02:31 EST 2022,REGULAR,-15.0,
1643372725120,Fri Jan 28 07:25:25 EST 2022,REGULAR,-14.0,
1643367159767,Fri Jan 28 05:52:39 EST 2022,REGULAR,-14.0,
1643334132237,Thu Jan 27 20:42:12 EST 2022,REGULAR,-11.0,
1643330691771,Thu Jan 27 19:44:51 EST 2022,REGULAR,-11.0,
1643319850846,Thu Jan 27 16:44:10 EST 2022,REGULAR,-10.0,
1643319585922,Thu Jan 27 16:39:45 EST 2022,REGULAR,-10.0,
1643309884636,Thu Jan 27 13:58:04 EST 2022,REGULAR,-9.0,
1643309869719,Thu Jan 27 13:57:49 EST 2022,REGULAR,-9.0,
1643304119137,Thu Jan 27 12:21:59 EST 2022,REGULAR,-8.0,
1643298818350,Thu Jan 27 10:53:38 EST 2022,REGULAR,-8.0,
1643298798410,Thu Jan 27 10:53:18 EST 2022,REGULAR,-8.0,
1643291212426,Thu Jan 27 08:46:52 EST 2022,REGULAR,-7.0,
1643287972237,Thu Jan 27 07:52:52 EST 2022,REGULAR,-6.0,
1643285156890,Thu Jan 27 07:05:56 EST 2022,REGULAR,-6.0,
1643285136682,Thu Jan 27 07:05:36 EST 2022,REGULAR,-6.0,
1643285081987,Thu Jan 27 07:04:41 EST 2022,REGULAR,-6.0,
1643268995698,Thu Jan 27 02:36:35 EST 2022,REGULAR,-4.0,
1643249583573,Wed Jan 26 21:13:03 EST 2022,REGULAR,-2.0,
1643242507606,Wed Jan 26 19:15:07 EST 2022,REGULAR,-2.0,
1643242472612,Wed Jan 26 19:14:32 EST 2022,REGULAR,-2.0,
1643242337545,Wed Jan 26 19:12:17 EST 2022,REGULAR,-2.0,
1643242317753,Wed Jan 26 19:11:57 EST 2022,REGULAR,-2.0,
1643235532118,Wed Jan 26 17:18:52 EST 2022,REGULAR,-1.0,
1643230181609,Wed Jan 26 15:49:41 EST 2022,REGULAR,-1.0,
1643230166560,Wed Jan 26 15:49:26 EST 2022,REGULAR,-1.0,
1643229876619,Wed Jan 26 15:44:36 EST 2022,REGULAR,0.0,
1643226506202,Wed Jan 26 14:48:26 EST 2022,REGULAR,-1.0,
1643226486354,Wed Jan 26 14:48:06 EST 2022,REGULAR,-1.0,
1643226456184,Wed Jan 26 14:47:36 EST 2022,REGULAR,-1.0,
1643222760664,Wed Jan 26 13:46:00 EST 2022,REGULAR,0.0,
1643217195058,Wed Jan 26 12:13:15 EST 2022,REGULAR,0.0,
